Src_Port,Dst_Port,Protocol,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min
-1.0162356,-0.3627322,1.2968123,-0.16416404,-0.15834498,-0.6459221,0.36239287,0.41869494,0.9327478,1.0583186,1.0007789,-0.19739147,1.0613571,1.2038151,1.1593848,-0.26675135,1.5270152,-0.23429294,-0.22721212,-0.05236028,-0.1727839,-0.23125318,-0.046278585,-0.04305373,-0.029278042,-0.043502815,-0.034679603,-0.17019032,-0.20315762,-0.03808152,-0.17977293,-0.19955108,0.0,-0.1597914,0.0,-0.01,-0.35752666,-0.9470359,-0.22597897,-0.1833323,0.6867926,1.031546,0.96682197,0.6706998,0.0010068237,-0.026465455,-0.3186755,-0.031637017,-0.1597914,-1.0569705,-0.01,-0.014142843,-0.01,1.302315,1.0362483,1.0007789,1.1593848,0.0,0.0,0.0,0.0,0.0,0.0,-0.15834498,0.36239287,-0.6459221,0.41869494,0.0,-0.49849972,-0.12246757,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
-1.3320565,-0.9029432,-0.74582124,1.3909432,-0.15834498,0.7476531,-0.53786004,-0.82831764,-0.6411179,-0.5995131,-0.6337196,-0.19739147,-0.9944737,-0.8819283,-0.9671327,-0.26675135,-1.0026779,-0.35095257,1.215567,1.8686118,1.3118956,0.38697344,-0.046278585,-0.04305373,-0.029278042,-0.043502815,-0.034679603,1.5864246,2.2093148,-0.03808152,1.7793646,2.2761664,0.0,-0.1597914,0.0,-0.01,-0.06136475,0.3842341,-0.3045493,-0.34594595,-0.80245465,-1.0199564,-0.98718464,-0.41237253,-0.38065407,-0.026465455,3.1376746,-0.031637017,-0.1597914,-1.0569705,-0.01,-0.014142843,-0.01,3.3276885,-0.9799851,-0.6337196,-0.9671327,0.0,0.0,0.0,0.0,0.0,0.0,-0.15834498,-0.53786004,0.7476531,-0.82831764,0.0,0.7931979,-0.3472612,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
0.70912933,-0.42389992,-0.74582124,-0.1445581,-0.38439065,2.1412284,-0.53786004,1.6186175,-0.6411179,-0.5995131,-0.6337196,-0.19739147,1.0009761,-0.8381715,0.42377833,3.2876458,0.5627042,-0.25838348,-0.2297286,-0.051759604,-0.17420499,-0.23440418,-0.046278585,-0.04305373,-0.029278042,-0.043502815,-0.034679603,-0.123545736,-0.17112762,-0.03717938,-0.1535773,-0.16691451,0.0,-0.1597914,0.0,-0.01,-0.55496794,2.3071797,-0.30567497,-0.08363991,-0.7569583,0.97129214,0.61258835,2.4308434,2.2495077,-0.026465455,-0.3186755,-0.031637017,-0.1597914,0.9460056,-0.01,-0.014142843,-0.01,-0.7230583,0.4873206,-0.6337196,0.42377833,0.0,0.0,0.0,0.0,0.0,0.0,-0.38439065,-0.53786004,2.1412284,1.6186175,0.0,-0.3330676,-0.3472612,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
0.7186997,-0.42389992,-0.74582124,-0.14158751,-0.38439065,0.7476531,-0.53786004,1.5924565,-0.6411179,-0.5995131,-0.6337196,-0.19739147,1.0009761,1.1425556,1.0969278,-0.26675135,0.44340876,-0.29427996,-0.18471165,-0.05236028,-0.14578328,-0.18335795,-0.046278585,-0.04305373,-0.029278042,-0.043502815,-0.034679603,-0.12023761,-0.13455436,-0.03808152,-0.12406111,-0.12914932,0.0,-0.1597914,0.0,-0.01,-0.55496794,1.1238285,-0.30567497,-0.18444052,1.3025099,0.97129214,1.1305883,-0.41237253,-0.38065407,-0.026465455,-0.3186755,-0.031637017,-0.1597914,0.9460056,-0.01,-0.014142843,-0.01,-0.7230583,1.2052299,-0.6337196,1.0969278,0.0,0.0,0.0,0.0,0.0,0.0,-0.38439065,-0.53786004,0.7476531,1.5924565,0.0,-0.3330676,-0.3472612,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
0.06448483,-0.8267806,1.2968123,-0.14099339,0.06770068,-0.6459221,0.27438444,-0.46206218,0.0833091,0.1331742,0.10363563,-0.10927119,-0.3906632,-0.26933235,-0.3425611,-0.26675135,-0.33124354,-0.26584184,-0.22637329,-0.051759604,-0.17207336,-0.23062298,-0.012929077,0.01687419,-0.029278042,-0.0067629,0.04466251,-0.17019032,-0.20315762,-0.03808152,-0.17977293,-0.19955108,0.0,-0.1597914,0.0,-0.01,-0.1600854,-0.9470359,-0.22754164,-0.2686433,-0.16550572,-0.37150943,-0.3288136,-0.34882212,-0.37934005,-0.026465455,-0.3186755,-0.031637017,-0.1597914,-1.0569705,-0.01,-0.014142843,-0.01,-0.7230583,-0.3761297,0.10363563,-0.3425611,0.0,0.0,0.0,0.0,0.0,0.0,0.06770068,0.27438444,-0.6459221,-0.46206218,0.0,-0.49849972,0.10232606,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
0.27515325,-0.9092241,-0.74582124,-0.13980515,0.06770068,-0.6459221,-0.53786004,-0.82831764,-0.6411179,-0.5995131,-0.6337196,-0.19739147,-0.9944737,-0.8819283,-0.9671327,-0.26675135,-1.0026779,-0.2680746,-0.22525485,-0.04695417,-0.16994174,-0.23188338,-0.013806696,0.01529714,-0.029278042,-0.00772974,0.04257456,-0.17019032,-0.20315762,-0.03808152,-0.17977293,-0.19955108,0.0,-0.1597914,0.0,-0.01,1.0245622,-0.05952256,-0.22953229,-0.27073324,-0.80245465,-1.0199564,-0.98718464,-0.41237253,-0.38065407,-0.026465455,-0.3186755,-0.031637017,-0.1597914,0.9460056,-0.01,-0.014142843,-0.01,-0.7230583,-0.9799851,-0.6337196,-0.9671327,0.0,0.0,0.0,0.0,0.0,0.0,0.06770068,-0.53786004,-0.6459221,-0.82831764,0.0,0.0182324,-0.3472612,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
1.009888,-0.43074661,1.2968123,-0.14515223,4.136523,-0.6459221,0.04886283,-0.8004125,-0.589831,-0.5454901,-0.5804569,-0.19739147,-0.94846904,-0.8352544,-0.91954625,-0.26675135,-0.62239546,0.3217595,-0.2652668,-0.05094216,-0.19587655,-0.2759974,0.011644243,-0.037575554,-0.027705705,-0.038668618,-0.030503701,-0.17019032,-0.20315762,-0.03808152,-0.17977293,-0.19955108,0.0,-0.1597914,0.0,-0.01,3.3938577,-0.9470359,0.5543538,-0.2603813,-0.7539252,-0.9740486,-0.9383599,-0.41237253,-0.38065407,-0.026465455,-0.3186755,-0.031637017,-0.1597914,-1.0569705,-0.01,-0.014142843,-0.01,-0.7230583,-0.94479936,-0.5804569,-0.91954625,0.0,0.0,0.0,0.0,0.0,0.0,4.136523,0.04886283,-0.6459221,-0.8004125,0.0,-0.49849972,4.1486115,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
0.2544377,-0.9092241,-0.74582124,-0.15317284,-0.38439065,0.7476531,-0.53786004,1.6971008,-0.6411179,-0.5995131,-0.6337196,-0.19739147,1.0872347,1.2300693,1.1861522,-0.26675135,1.031235,-0.27366647,-0.2065211,-0.05236028,-0.15963885,-0.20793577,-0.046278585,-0.04305373,-0.029278042,-0.043502815,-0.034679603,-0.1331393,-0.15227307,-0.03808152,-0.13845025,-0.14733256,0.0,-0.1597914,0.0,-0.01,-0.55496794,1.1238285,-0.30567497,-0.12655596,1.3935026,1.0573691,1.2221347,-0.41237253,-0.38065407,-0.026465455,-0.3186755,-0.031637017,-0.1597914,0.9460056,-0.01,-0.014142843,-0.01,-0.7230583,1.2996916,-0.6337196,1.1861522,0.0,0.0,0.0,0.0,0.0,0.0,-0.38439065,-0.53786004,0.7476531,1.6971008,0.0,-0.48469898,-0.3472612,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
1.0081517,-0.43074661,1.2968123,-0.16089638,-0.15834498,-0.6459221,-0.5085239,-0.8004125,-0.589831,-0.5454901,-0.5804569,-0.19739147,-0.94846904,-0.8352544,-0.91954625,-0.26675135,-0.9441405,-0.2495375,-0.22106072,-0.05236028,-0.16887592,-0.22432098,-0.046278585,-0.04305373,-0.029278042,-0.043502815,-0.034679603,-0.17019032,-0.20315762,-0.03808152,-0.17977293,-0.19955108,0.0,-0.1597914,0.0,-0.01,-0.35752666,-0.9470359,-0.23617265,-0.20473635,-0.7539252,-0.9740486,-0.9383599,-0.41237253,-0.38065407,-0.026465455,-0.3186755,-0.031637017,-0.1597914,-1.0569705,-0.01,-0.014142843,-0.01,1.302315,-0.92960554,-0.5804569,-0.91954625,0.0,0.0,0.0,0.0,0.0,0.0,-0.15834498,-0.5085239,-0.6459221,-0.8004125,0.0,-0.49849972,-0.12246757,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
-1.0988958,-0.9029432,-0.74582124,1.833265,-0.38439065,0.7476531,-0.53786004,-0.82831764,-0.6411179,-0.5995131,-0.6337196,-0.19739147,-0.9944737,-0.8819283,-0.9671327,-0.26675135,-1.0026779,-0.35216293,3.532961,-0.05236028,2.2160616,4.0062146,-0.046278585,-0.04305373,-0.029278042,-0.043502815,-0.034679603,2.0790045,2.8858066,-0.03808152,2.3287349,2.970393,0.0,-0.1597914,0.0,-0.01,-0.55496794,0.3842341,-0.30567497,-0.3469812,-0.80245465,-1.0199564,-0.98718464,-0.41237253,-0.38065407,-0.026465455,3.1376746,-0.031637017,-0.1597914,-1.0569705,-0.01,-0.014142843,-0.01,-0.7230583,-0.9799851,-0.6337196,-0.9671327,0.0,0.0,0.0,0.0,0.0,0.0,-0.38439065,-0.53786004,0.7476531,-0.82831764,0.0,0.7931979,-0.3472612,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
-1.0121168,-0.9092241,-0.74582124,-0.17040229,0.06770068,2.1412284,-0.53786004,2.7261043,-0.6411179,-0.5995131,-0.6337196,-0.19739147,1.1044865,0.8041692,1.0533068,0.5289311,4.934666,0.060358163,-0.26160395,-0.048286278,-0.19232383,-0.2728464,-0.02872621,-0.011512719,-0.029278042,-0.024166018,0.0070794043,-0.15596537,-0.19338961,-0.0353751,-0.17128702,-0.19022635,0.0,-0.1597914,0.0,-0.01,0.43223846,0.97590965,-0.084297195,0.3465802,-0.80245465,1.0745845,0.42059526,2.6206467,2.61239,-0.026465455,-0.3186755,-0.031637017,-0.1597914,0.9460056,-0.01,-0.014142843,-0.01,1.302315,0.18210422,-0.6337196,1.0533068,0.0,0.0,0.0,0.0,0.0,0.0,0.06770068,-0.53786004,2.1412284,2.7261043,0.0,-0.3172321,-0.3472612,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
-1.4021581,1.5123042,-0.74582124,-0.13742867,-0.15834498,-0.6459221,0.78318316,0.42828733,1.6683937,1.8332114,1.7647655,-0.19739147,1.0771712,1.2198594,1.1757427,-0.26675135,0.37124333,-0.2993028,-0.17688261,-0.05236028,-0.14080948,-0.17453514,-0.046278585,-0.04305373,-0.029278042,-0.043502815,-0.034679603,-0.17019032,-0.20315762,-0.03808152,-0.17977293,-0.19955108,0.0,-0.1597914,0.0,-0.01,0.23479716,-0.05952256,-0.2694495,-0.2746091,1.3828868,1.0473268,1.2114543,-0.41237253,-0.38065407,-0.026465455,-0.3186755,-0.031637017,-0.1597914,0.9460056,-0.01,-0.014142843,-0.01,1.302315,1.288671,1.7647655,1.1757427,0.0,0.0,0.0,0.0,0.0,0.0,-0.15834498,0.78318316,-0.6459221,0.42828733,0.0,-0.47611773,-0.12246757,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
0.7445436,-0.9092241,-0.74582124,-0.12732865,0.06770068,-0.6459221,2.0290525,0.39253384,1.6026825,1.7639943,1.6965226,-0.19739147,1.0182278,1.1600583,1.1147726,-0.26675135,0.65747476,-0.28609937,-0.2135113,-0.024128359,-0.15573087,-0.23062298,-0.012929077,0.01687419,-0.029278042,-0.0067629,0.04466251,-0.17019032,-0.20315762,-0.03808152,-0.17977293,-0.19955108,0.0,-0.1597914,0.0,-0.01,0.43223846,-0.5032792,-0.24560261,-0.28760496,1.3207085,0.9885075,1.1488975,-0.41237253,-0.38065407,-0.026465455,-0.3186755,-0.031637017,-0.1597914,0.9460056,-0.01,-0.014142843,-0.01,-0.7230583,0.9792214,1.6965226,1.1147726,0.0,0.0,0.0,0.0,0.0,0.0,0.06770068,2.0290525,-0.6459221,0.39253384,0.0,-0.2507054,0.10232606,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
-1.0162356,-0.3627322,1.2968123,-0.123466864,0.29374635,-0.6459221,3.3950167,0.41869494,1.6507639,1.814641,1.7464564,-0.19739147,1.0613571,1.2038151,1.1593848,-0.26675135,1.1196475,-0.26914886,-0.22963539,-0.05186983,-0.17420499,-0.23440418,0.015593527,0.0125373015,-0.02862979,-0.00918,0.038398657,-0.17019032,-0.20315762,-0.03808152,-0.17977293,-0.19955108,0.0,-0.1597914,0.0,-0.01,0.03735589,-0.9470359,-0.22109194,-0.29147235,1.3662049,1.031546,1.1946708,-0.41237253,-0.38065407,-0.026465455,-0.3186755,-0.031637017,-0.1597914,-1.0569705,-0.01,-0.014142843,-0.01,-0.7230583,0.89613,1.7464564,1.1593848,0.0,0.0,0.0,0.0,0.0,0.0,0.29374635,3.3950167,-0.6459221,0.41869494,0.0,-0.49849972,0.32711968,0.0,-0.051274255,-0.021357002,-0.04853966,-0.049178228
